url,begin_year,end_year,root
http://ab-banff.civicplus.com/AgendaCenter,2010,2020,http://ab-banff.civicplus.com/AgendaCenter
http://ab-beaumont.civicplus.com/AgendaCenter,2016,2020,http://ab-beaumont.civicplus.com/AgendaCenter
http://ab-bonnyville.civicplus.com/AgendaCenter,2010,2020,http://ab-bonnyville.civicplus.com/AgendaCenter
http://ab-brooks.civicplus.com/AgendaCenter,2013,2020,http://ab-brooks.civicplus.com/AgendaCenter
http://ab-chestermere.civicplus.com/AgendaCenter,2011,2018,http://ab-chestermere.civicplus.com/AgendaCenter
http://ab-cochrane.civicplus.com/AgendaCenter,2012,2020,http://ab-cochrane.civicplus.com/AgendaCenter
http://ab-highlevel.civicplus.com/AgendaCenter,2014,2020,http://ab-highlevel.civicplus.com/AgendaCenter
http://ab-hintoncommunity.civicplus.com/AgendaCenter,2012,2014,http://ab-hintoncommunity.civicplus.com/AgendaCenter
http://ab-kneehillcounty.civicplus.com/AgendaCenter,2020,2020,http://ab-kneehillcounty.civicplus.com/AgendaCenter
http://ab-mdbighorn.civicplus.com/AgendaCenter,2014,2020,http://ab-mdbighorn.civicplus.com/AgendaCenter
http://ab-nanton.civicplus.com/AgendaCenter,2012,2020,http://ab-nanton.civicplus.com/AgendaCenter
http://ab-rockymountainhouse.civicplus.com/AgendaCenter,2013,2013,http://ab-rockymountainhouse.civicplus.com/AgendaCenter
http://ab-slavelake.civicplus.com/AgendaCenter,2015,2020,http://ab-slavelake.civicplus.com/AgendaCenter
http://ab-stettlercounty.civicplus.com/AgendaCenter,2011,2020,http://ab-stettlercounty.civicplus.com/AgendaCenter
http://al-alabaster.civicplus.com/AgendaCenter,2013,2020,http://al-alabaster.civicplus.com/AgendaCenter
http://al-athens.civicplus.com/AgendaCenter,2016,2020,http://al-athens.civicplus.com/AgendaCenter
http://al-boaz.civicplus.com/AgendaCenter,2017,2020,http://al-boaz.civicplus.com/AgendaCenter
http://al-calera.civicplus.com/AgendaCenter,2018,2020,http://al-calera.civicplus.com/AgendaCenter
http://al-coffeecounty.civicplus.com/AgendaCenter,2017,2017,http://al-coffeecounty.civicplus.com/AgendaCenter
http://al-daphne.civicplus.com/AgendaCenter,2005,2020,http://al-daphne.civicplus.com/AgendaCenter
http://al-dothan.civicplus.com/AgendaCenter,2012,2020,http://al-dothan.civicplus.com/AgendaCenter
http://al-gadsden.civicplus.com/AgendaCenter,2012,2020,http://al-gadsden.civicplus.com/AgendaCenter
http://al-gulfshores.civicplus.com/AgendaCenter,2012,2020,http://al-gulfshores.civicplus.com/AgendaCenter
http://al-hoover.civicplus.com/AgendaCenter,2012,2020,http://al-hoover.civicplus.com/AgendaCenter
http://al-jacksoncounty.civicplus.com/AgendaCenter,2019,2020,http://al-jacksoncounty.civicplus.com/AgendaCenter
