end_point,begin_year,end_year,scraper_type,whitelisted,name,state,country,govt_level,meeting_bodies
http://ab-banff.civicplus.com/AgendaCenter,2010,2020,civicplus,TRUE,Banff,AB,CANADA,Municipality,"['Banff Town Council', 'Banff Heritage Corporation', 'Banff Housing Corporation Agendas', 'Banff Housing Corporation Shareholders Agendas', 'Community Art Committee Agendas', 'Development Appeal Board', 'Governance & Finance Committee Agendas', 'Municipal Planning Commission']"
http://ab-beaumont.civicplus.com/AgendaCenter,2016,2020,civicplus,TRUE,Beaumont,AB,CANADA,Municipality,['Municipal Planning Commission']
http://ab-bonnyville.civicplus.com/AgendaCenter,2010,2020,civicplus,TRUE,Bonnyville,AB,CANADA,Municipality,"['Municipal District Council (Agenda & Minutes Archive 2010-May 2020)', 'Municipal Planning Commission']"
http://ab-brooks.civicplus.com/AgendaCenter,2013,2020,civicplus,TRUE,Brooks,AB,CANADA,Municipality,"['City Council', 'Council Committee', 'Municipal Planning Commission']"
http://ab-chestermere.civicplus.com/AgendaCenter,2011,2018,civicplus,TRUE,Chestermere,AB,CANADA,Municipality,"['Chestermere City Council', 'Committee of the Whole']"
http://ab-cochrane.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Cochrane,AB,CANADA,Municipality,"['Assessment Review Board', 'Cochrane Library Board', 'Cochrane Planning Commission', 'Economic Recovery Task Force', 'Emergency Management Committee', 'Family & Community Support Services Advisory Board', 'Parks and Recreation Committee', 'Social Recovery Task Force', 'Subdivision & Development Appeal Board', 'Transit Task Force', 'Tri-Site Concept Plan Advisory Group']"
http://ab-highlevel.civicplus.com/AgendaCenter,2014,2020,civicplus,TRUE,High Level,AB,CANADA,Municipality,"['Committee of the Whole', 'Regular Council Meetings']"
http://ab-hintoncommunity.civicplus.com/AgendaCenter,2012,2014,civicplus,TRUE,Hinton Community,AB,CANADA,Municipality,['Community Engagement Accountability Committee']
http://ab-kneehillcounty.civicplus.com/AgendaCenter,2020,2020,civicplus,TRUE,Kneehill County,AB,CANADA,County,"['Kneehill County Council', 'Municipal Planning Commission']"
http://ab-mdbighorn.civicplus.com/AgendaCenter,2014,2020,civicplus,TRUE,Bighorn,AB,CANADA,Municipality,"['Agricultural Services & Environmental Board', 'Bighorn Corridor Environment Committee (BCEC)', 'Community Services Board (CSB)', 'Council', 'Council - Public Hearings', 'Emergency Services Committee', 'Finance & Economic Development Committee', 'Heritage Resources Committee', 'Municipal Excellence Committee (MEC)', 'Municipal Planning Commission', 'Streets & Roads Committee', 'Subdivision & Development Appeal Board (S / DAB)', 'hysical Address:']"
http://ab-nanton.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Nanton,AB,CANADA,Municipality,"['Town Council Agendas & Minutes', 'Municipal Planning Commission Agendas & Minutes', 'Standing Committees']"
http://ab-rockymountainhouse.civicplus.com/AgendaCenter,2013,2013,civicplus,TRUE,Rocky Mountain House,AB,CANADA,Municipality,['Downtown Steering Committee']
